iter	R2	RMSE
0	0.00565191871	0.2691635982
1	0.01126293946	0.2684030903
2	0.01619085022	0.2677333882
3	0.02191264273	0.2669536898
4	0.02575069205	0.2664294071
5	0.03063879655	0.265760188
6	0.03480309458	0.2651887314
7	0.03934297887	0.2645643276
8	0.04326210617	0.2640241135
9	0.04734155077	0.2634606247
10	0.05103286093	0.2629497077
11	0.05471753315	0.2624387175
12	0.05811631326	0.261966491
